productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Carrots,2019/1/6,$0.29 ,$0.92 ,$0.99 ,$0.99 ,$1.05 ,240.52%
Broccoli Crowns,2019/1/6,$1.01 ,$2.84 ,$2.03 ,$1.99 ,$1.79 ,114.11%
Broccoli Bunches,2019/1/6,$1.22 ,$1.78 ,$1.79 ,$1.49 ,$1.89 ,42.42%
Avocados,2019/1/6,$0.56 ,$0.91 ,$1.26 ,$0.85 ,$1.18 ,87.50%
Strawberries,2018/12/30,$2.50 ,$3.71 ,$4.59 ,$4.49 ,$5.71 ,85.00%
Romaine Lettuce,2018/12/30,$0.34 ,$2.22 ,$2.22 ,$1.67 ,$1.99 ,495.59%
Red Leaf Lettuce,2018/12/30,$0.64 ,$2.22 ,$2.00 ,$1.74 ,$2.00 ,210.94%
Potatoes,2018/12/30,$1.70 ,$3.98 ,$4.81 ,$3.99 ,$6.47 ,183.09%
Oranges,2018/12/30,$0.49 ,$1.50 ,$1.49 ,$1.34 ,$2.10 ,228.06%
Iceberg Lettuce,2018/12/30,$0.47 ,$1.29 ,$1.54 ,$1.67 ,$,139.36%
Green Leaf Lettuce,2018/12/30,$0.61 ,$2.22 ,$1.84 ,$1.74 ,$1.95 ,217.62%
Flame Grapes,2018/12/30,$1.00 ,$2.66 ,$2.46 ,$2.87 ,$2.71 ,167.50%
Celery,2018/12/30,$0.78 ,$1.31 ,$2.14 ,$1.99 ,$1.94 ,136.54%
Cauliflower,2018/12/30,$1.00 ,$3.11 ,$2.61 ,$3.43 ,$2.99 ,203.50%
Carrots,2018/12/30,$0.29 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,234.48%
Broccoli Crowns,2018/12/30,$0.76 ,$2.21 ,$2.68 ,$1.99 ,$1.71 ,182.57%
Avocados,2018/12/30,$0.48 ,$0.97 ,$1.48 ,$1.25 ,$1.32 ,161.46%
Thompson Grapes,2018/12/23,$1.13 ,$2.69 ,$2.46 ,$2.49 ,$2.59 ,126.33%
Strawberries,2018/12/23,$2.88 ,$3.86 ,$4.46 ,$4.99 ,$4.09 ,51.04%
Romaine Lettuce,2018/12/23,$0.35 ,$1.89 ,$2.09 ,$1.67 ,$2.19 ,460.00%
Red Leaf Lettuce,2018/12/23,$0.65 ,$2.59 ,$2.00 ,$1.67 ,$2.45 ,235.00%
Potatoes,2018/12/23,$1.70 ,$6.11 ,$4.81 ,$3.99 ,$4.94 ,191.91%
Oranges,2018/12/23,$0.51 ,$1.58 ,$1.36 ,$1.42 ,$1.89 ,206.37%
Iceberg Lettuce,2018/12/23,$0.39 ,$1.29 ,$1.69 ,$1.67 ,$2.36 ,349.36%
Green Leaf Lettuce,2018/12/23,$0.64 ,$2.59 ,$1.92 ,$1.67 ,$2.36 ,233.59%
Flame Grapes,2018/12/23,$1.00 ,$2.59 ,$2.34 ,$2.37 ,$2.59 ,147.25%
Celery,2018/12/23,$0.83 ,$1.31 ,$1.74 ,$1.99 ,$1.82 ,106.63%
Cauliflower,2018/12/23,$0.61 ,$2.91 ,$3.31 ,$3.68 ,$2.48 ,407.38%
Carrots,2018/12/23,$0.29 ,$0.92 ,$0.85 ,$0.99 ,$1.24 ,244.83%
Broccoli Crowns,2018/12/23,$0.69 ,$2.76 ,$2.66 ,$2.24 ,$1.89 ,246.01%
Broccoli Bunches,2018/12/23,$0.76 ,$1.94 ,$2.23 ,$1.49 ,$1.89 ,148.36%
Avocados,2018/12/23,$0.46 ,$0.92 ,$1.02 ,$1.00 ,$1.51 ,141.85%
Thompson Grapes,2018/12/16,$1.10 ,$2.42 ,$2.34 ,$2.49 ,$2.24 ,115.68%
Strawberries,2018/12/16,$3.06 ,$3.16 ,$4.28 ,$4.99 ,$4.95 ,41.99%
Romaine Lettuce,2018/12/16,$0.35 ,$1.80 ,$2.22 ,$1.67 ,$2.82 ,507.86%
Red Leaf Lettuce,2018/12/16,$0.90 ,$2.15 ,$2.00 ,$1.74 ,$2.45 ,131.67%
Potatoes,2018/12/16,$1.70 ,$5.11 ,$4.97 ,$3.99 ,$6.47 ,202.06%
Oranges,2018/12/16,$0.51 ,$1.50 ,$1.54 ,$1.42 ,$1.67 ,200.49%
Iceberg Lettuce,2018/12/16,$0.45 ,$1.19 ,$2.11 ,$1.92 ,$2.56 ,332.22%
Green Leaf Lettuce,2018/12/16,$0.90 ,$2.15 ,$1.92 ,$1.74 ,$2.36 ,126.94%
Flame Grapes,2018/12/16,$1.00 ,$2.49 ,$2.34 ,$2.12 ,$2.24 ,129.75%
Celery,2018/12/16,$0.93 ,$1.51 ,$1.58 ,$1.99 ,$1.44 ,75.27%
Cauliflower,2018/12/16,$0.64 ,$2.51 ,$3.56 ,$3.68 ,$3.11 ,402.34%
Carrots,2018/12/16,$0.29 ,$0.92 ,$0.95 ,$0.99 ,$1.05 ,237.07%
Broccoli Crowns,2018/12/16,$0.71 ,$3.63 ,$2.31 ,$2.24 ,$1.71 ,248.24%
Broccoli Bunches,2018/12/16,$0.82 ,$1.88 ,$2.36 ,$1.49 ,$1.76 ,128.35%
Avocados,2018/12/16,$0.47 ,$1.04 ,$1.39 ,$1.31 ,$1.49 ,178.19%
Thompson Grapes,2018/12/9,$1.10 ,$2.42 ,$1.96 ,$1.23 ,$1.96 ,72.05%
Strawberries,2018/12/9,$3.25 ,$3.66 ,$4.21 ,$3.99 ,$4.95 ,29.31%
Romaine Lettuce,2018/12/9,$0.63 ,$2.05 ,$2.14 ,$1.67 ,$2.89 ,247.22%
Red Leaf Lettuce,2018/12/9,$2.03 ,$2.09 ,$1.80 ,$1.74 ,$2.42 ,-0.86%
Potatoes,2018/12/9,$1.70 ,$5.11 ,$4.81 ,$3.99 ,$7.99 ,222.06%
Oranges,2018/12/9,$0.52 ,$1.50 ,$1.37 ,$1.42 ,$1.82 ,193.75%
Iceberg Lettuce,2018/12/9,$1.84 ,$1.19 ,$2.01 ,$1.99 ,$2.56 ,5.30%
Green Leaf Lettuce,2018/12/9,$2.03 ,$2.09 ,$1.72 ,$1.74 ,$2.33 ,-2.96%
Flame Grapes,2018/12/9,$0.89 ,$2.49 ,$1.96 ,$0.98 ,$1.96 ,107.58%
Celery,2018/12/9,$1.17 ,$1.59 ,$1.54 ,$1.99 ,$1.94 ,50.85%
Cauliflower,2018/12/9,$1.19 ,$2.74 ,$3.56 ,$3.68 ,$3.74 ,188.24%
Carrots,2018/12/9,$0.29 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,234.48%
Broccoli Crowns,2018/12/9,$1.20 ,$3.20 ,$2.22 ,$1.92 ,$2.09 ,96.46%
Broccoli Bunches,2018/12/9,$1.36 ,$1.71 ,$1.91 ,$1.49 ,$1.76 ,26.29%
Avocados,2018/12/9,$0.48 ,$1.01 ,$1.44 ,$1.31 ,$1.69 ,183.85%
Thompson Grapes,2018/12/2,$0.85 ,$2.31 ,$1.64 ,$2.12 ,$,78.53%
Strawberries,2018/12/2,$2.88 ,$3.71 ,$3.99 ,$3.99 ,$5.16 ,46.27%
Romaine Lettuce,2018/12/2,$1.01 ,$1.75 ,$2.14 ,$1.34 ,$2.49 ,91.09%
Red Leaf Lettuce,2018/12/2,$2.04 ,$2.39 ,$1.80 ,$1.92 ,$1.97 ,-0.98%
Potatoes,2018/12/2,$1.70 ,$4.81 ,$4.81 ,$3.99 ,$6.47 ,195.29%
Oranges,2018/12/2,$0.55 ,$1.63 ,$1.37 ,$0.99 ,$1.90 ,167.73%
Iceberg Lettuce,2018/12/2,$2.16 ,$1.24 ,$1.51 ,$1.74 ,$2.24 ,-22.11%
Green Leaf Lettuce,2018/12/2,$2.04 ,$2.49 ,$1.72 ,$1.92 ,$1.91 ,-1.47%
Flame Grapes,2018/12/2,$0.89 ,$2.34 ,$1.64 ,$2.37 ,$1.91 ,132.02%
Celery,2018/12/2,$1.10 ,$1.35 ,$2.01 ,$1.99 ,$1.71 ,60.45%
Cauliflower,2018/12/2,$2.16 ,$3.64 ,$3.38 ,$3.83 ,$3.74 ,68.87%
Carrots,2018/12/2,$0.29 ,$0.92 ,$0.92 ,$0.99 ,$1.02 ,231.90%
Broccoli Crowns,2018/12/2,$1.44 ,$2.70 ,$2.41 ,$1.99 ,$2.24 ,62.15%
Avocados,2018/12/2,$0.55 ,$1.06 ,$1.69 ,$1.56 ,$1.94 ,184.09%
Green Leaf Lettuce,2018/11/28,$0.68 ,$1.74 ,$1.68 ,$1.42 ,$1.81 ,144.49%
Thompson Grapes,2018/11/25,$0.85 ,$1.98 ,$1.96 ,$2.24 ,$2.21 ,146.76%
Strawberries,2018/11/25,$2.69 ,$3.36 ,$3.84 ,$3.99 ,$,4.00%
Potatoes,2018/11/25,$1.70 ,$6.14 ,$4.81 ,$3.49 ,$6.47 ,207.50%
Oranges,2018/11/25,$0.55 ,$1.71 ,$1.64 ,$0.99 ,$1.77 ,177.73%
Iceberg Lettuce,2018/11/25,$1.91 ,$1.05 ,$1.52 ,$1.24 ,$1.82 ,-26.31%
Green Leaf Lettuce,2018/11/25,$1.84 ,$1.99 ,$1.75 ,$1.42 ,$1.91 ,-3.94%
Flame Grapes,2018/11/25,$0.89 ,$1.88 ,$1.96 ,$1.99 ,$2.21 ,125.84%
Celery,2018/11/25,$0.79 ,$1.64 ,$1.83 ,$1.74 ,$1.46 ,111.08%
Cauliflower,2018/11/25,$3.23 ,$3.64 ,$3.39 ,$3.83 ,$3.99 ,14.94%
Carrots,2018/11/25,$0.30 ,$0.89 ,$0.94 ,$0.99 ,$1.15 ,230.83%
Broccoli Crowns,2018/11/25,$1.54 ,$3.07 ,$1.95 ,$1.99 ,$1.99 ,46.10%
Avocados,2018/11/25,$0.65 ,$1.11 ,$1.82 ,$1.62 ,$2.17 ,158.46%
Thompson Grapes,2018/11/18,$0.83 ,$2.31 ,$1.61 ,$1.99 ,$1.96 ,137.05%
Strawberries,2018/11/18,$2.08 ,$2.99 ,$3.84 ,$3.99 ,$3.86 ,76.44%
Red Leaf Lettuce,2018/11/18,$0.73 ,$1.74 ,$1.76 ,$1.42 ,$1.87 ,132.53%
Potatoes,2018/11/18,$1.70 ,$4.72 ,$3.32 ,$3.49 ,$6.47 ,164.71%
Oranges,2018/11/18,$0.55 ,$1.51 ,$1.54 ,$1.34 ,$2.01 ,190.91%
Iceberg Lettuce,2018/11/18,$0.72 ,$1.04 ,$1.39 ,$1.34 ,$1.92 ,97.57%
Honeydews,2018/11/18,$1.66 ,$3.61 ,$3.95 ,$3.85 ,$4.61 ,141.27%
Flame Grapes,2018/11/18,$0.81 ,$2.13 ,$1.61 ,$1.99 ,$1.96 ,137.35%
Celery,2018/11/18,$0.73 ,$1.64 ,$1.68 ,$1.49 ,$1.35 ,110.96%
Cauliflower,2018/11/18,$2.90 ,$2.44 ,$1.61 ,$3.68 ,$3.32 ,-4.74%
Carrots,2018/11/18,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.15 ,231.67%
Broccoli Crowns,2018/11/18,$1.18 ,$1.89 ,$1.45 ,$2.20 ,$1.74 ,54.24%
Thompson Grapes,2018/11/11,$0.85 ,$2.35 ,$2.14 ,$1.74 ,$1.99 ,141.76%
Strawberries,2018/11/11,$2.17 ,$2.91 ,$2.99 ,$3.74 ,$3.99 ,57.03%
Romaine Lettuce,2018/11/11,$1.06 ,$1.75 ,$2.04 ,$1.42 ,$2.05 ,71.23%
Red Leaf Lettuce,2018/11/11,$0.72 ,$1.59 ,$1.80 ,$1.42 ,$1.90 ,132.99%
Potatoes,2018/11/11,$1.70 ,$6.14 ,$4.47 ,$3.99 ,$5.97 ,202.50%
Iceberg Lettuce,2018/11/11,$0.79 ,$1.04 ,$1.39 ,$1.24 ,$1.69 ,69.62%
Oranges,2018/11/11,$0.55 ,$1.58 ,$1.54 ,$1.34 ,$2.13 ,199.55%
Honeydews,2018/11/11,$1.46 ,$4.49 ,$3.95 ,$3.85 ,$4.61 ,189.38%
Green Leaf Lettuce,2018/11/11,$0.69 ,$1.59 ,$1.76 ,$1.42 ,$1.82 ,138.77%
Flame Grapes,2018/11/11,$0.81 ,$2.10 ,$1.88 ,$1.99 ,$1.96 ,144.75%
Celery,2018/11/11,$0.77 ,$1.64 ,$1.33 ,$1.74 ,$1.62 ,105.52%
Cauliflower,2018/11/11,$2.47 ,$2.46 ,$2.38 ,$3.83 ,$2.74 ,15.49%
Carrots,2018/11/11,$0.30 ,$0.89 ,$0.92 ,$0.99 ,$1.05 ,220.83%
Broccoli Crowns,2018/11/11,$0.97 ,$1.89 ,$1.95 ,$1.99 ,$2.09 ,104.12%
Thompson Grapes,2018/11/4,$0.83 ,$2.31 ,$2.14 ,$1.74 ,$2.49 ,161.45%
Strawberries,2018/11/4,$1.06 ,$3.06 ,$2.92 ,$3.74 ,$3.19 ,204.48%
Romaine Lettuce,2018/11/4,$1.07 ,$2.06 ,$2.09 ,$1.42 ,$1.84 ,73.13%
Red Leaf Lettuce,2018/11/4,$0.40 ,$1.74 ,$1.71 ,$1.42 ,$1.72 ,311.88%
Potatoes,2018/11/4,$1.70 ,$4.47 ,$4.31 ,$3.82 ,$6.22 ,176.76%
Oranges,2018/11/4,$0.56 ,$1.63 ,$1.54 ,$1.34 ,$2.13 ,196.43%
Iceberg Lettuce,2018/11/4,$0.74 ,$1.04 ,$1.39 ,$1.34 ,$1.64 ,82.77%
Honeydews,2018/11/4,$1.33 ,$4.49 ,$4.09 ,$3.85 ,$1.67 ,165.04%
Green Leaf Lettuce,2018/11/4,$0.66 ,$1.59 ,$1.63 ,$1.42 ,$1.67 ,139.02%
Flame Grapes,2018/11/4,$0.81 ,$1.96 ,$1.64 ,$1.99 ,$2.49 ,149.38%
Celery,2018/11/4,$0.70 ,$1.76 ,$1.91 ,$1.99 ,$1.49 ,155.36%
Cauliflower,2018/11/4,$1.21 ,$2.41 ,$3.38 ,$3.83 ,$3.11 ,163.02%
Carrots,2018/11/4,$0.31 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,212.90%
Cantaloupe,2018/11/4,$1.25 ,$2.46 ,$2.37 ,$3.24 ,$2.86 ,118.60%
Broccoli Crowns,2018/11/4,$0.75 ,$1.89 ,$2.13 ,$2.20 ,$2.16 ,179.33%
Thompson Grapes,2018/10/28,$0.85 ,$2.18 ,$2.32 ,$1.74 ,$2.49 ,156.76%
Strawberries,2018/10/28,$1.10 ,$2.99 ,$2.66 ,$3.24 ,$3.56 ,182.95%
Romaine Lettuce,2018/10/28,$0.96 ,$1.94 ,$2.06 ,$1.42 ,$1.83 ,88.80%
Red Leaf Lettuce,2018/10/28,$0.41 ,$1.59 ,$1.64 ,$1.42 ,$1.72 ,288.41%
Potatoes,2018/10/28,$1.70 ,$4.47 ,$4.41 ,$3.99 ,$5.97 ,177.06%
Oranges,2018/10/28,$0.60 ,$1.63 ,$1.54 ,$1.37 ,$1.90 ,168.33%
Iceberg Lettuce,2018/10/28,$0.90 ,$1.04 ,$1.39 ,$1.14 ,$1.66 ,45.28%
Honeydews,2018/10/28,$1.33 ,$3.27 ,$3.52 ,$3.66 ,$4.36 ,178.38%
Green Leaf Lettuce,2018/10/28,$0.55 ,$1.59 ,$1.57 ,$1.42 ,$1.67 ,184.09%
Flame Grapes,2018/10/28,$0.89 ,$2.01 ,$2.32 ,$1.74 ,$2.49 ,140.45%
Celery,2018/10/28,$0.61 ,$1.76 ,$1.91 ,$1.99 ,$1.49 ,193.03%
Cauliflower,2018/10/28,$0.83 ,$2.41 ,$2.25 ,$3.53 ,$3.24 ,244.28%
Carrots,2018/10/28,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,223.33%
Cantaloupe,2018/10/28,$1.08 ,$2.56 ,$2.74 ,$2.74 ,$2.74 ,149.54%
Broccoli Crowns,2018/10/28,$0.83 ,$1.82 ,$2.13 ,$2.20 ,$2.16 ,150.30%
Tomatoes,2018/10/21,$0.64 ,$1.29 ,$1.26 ,$1.59 ,$1.74 ,129.69%
Thompson Grapes,2018/10/21,$0.85 ,$2.47 ,$2.19 ,$1.99 ,$1.99 ,154.12%
Strawberries,2018/10/21,$1.19 ,$2.65 ,$2.62 ,$3.12 ,$3.44 ,148.53%
Romaine Lettuce,2018/10/21,$0.59 ,$1.94 ,$1.99 ,$1.42 ,$1.83 ,204.24%
Red Leaf Lettuce,2018/10/21,$0.32 ,$1.59 ,$1.75 ,$1.42 ,$1.56 ,393.75%
Potatoes,2018/10/21,$1.70 ,$4.47 ,$3.74 ,$3.74 ,$3.47 ,126.76%
Oranges,2018/10/21,$0.51 ,$1.63 ,$1.41 ,$1.47 ,$1.90 ,214.22%
Iceberg Lettuce,2018/10/21,$0.76 ,$1.04 ,$1.31 ,$1.14 ,$1.56 ,66.12%
Honeydews,2018/10/21,$1.62 ,$3.44 ,$4.09 ,$3.85 ,$4.61 ,146.76%
Green Leaf Lettuce,2018/10/21,$0.45 ,$1.74 ,$1.71 ,$1.42 ,$1.50 ,253.89%
Flame Grapes,2018/10/21,$0.89 ,$2.23 ,$1.95 ,$1.99 ,$1.99 ,129.21%
Celery,2018/10/21,$0.49 ,$1.35 ,$1.79 ,$1.99 ,$1.62 ,244.39%
Cauliflower,2018/10/21,$0.74 ,$2.49 ,$3.38 ,$3.68 ,$2.24 ,298.31%
Carrots,2018/10/21,$0.30 ,$0.92 ,$0.85 ,$0.99 ,$1.05 ,217.50%
Cantaloupe,2018/10/21,$0.83 ,$2.46 ,$2.37 ,$2.50 ,$2.74 ,203.31%
Broccoli Crowns,2018/10/21,$0.88 ,$1.82 ,$2.13 ,$1.99 ,$2.21 ,131.53%
Tomatoes,2018/10/14,$0.48 ,$1.29 ,$1.24 ,$1.59 ,$1.74 ,205.21%
Thompson Grapes,2018/10/14,$0.87 ,$2.27 ,$2.14 ,$0.98 ,$1.66 ,102.59%
Strawberries,2018/10/14,$1.31 ,$2.70 ,$2.54 ,$3.04 ,$3.56 ,125.95%
Romaine Lettuce,2018/10/14,$0.49 ,$1.94 ,$2.16 ,$1.42 ,$1.74 ,270.41%
Red Leaf Lettuce,2018/10/14,$0.32 ,$1.59 ,$1.71 ,$1.42 ,$1.63 ,396.09%
Potatoes,2018/10/14,$1.70 ,$4.47 ,$4.07 ,$3.99 ,$5.97 ,172.06%
Oranges,2018/10/14,$0.53 ,$1.63 ,$1.54 ,$1.49 ,$1.90 ,209.43%
Iceberg Lettuce,2018/10/14,$0.40 ,$1.04 ,$1.39 ,$1.14 ,$1.66 ,226.88%
Honeydews,2018/10/14,$1.83 ,$3.27 ,$3.42 ,$3.66 ,$4.61 ,104.37%
Green Leaf Lettuce,2018/10/14,$0.43 ,$1.59 ,$1.63 ,$1.42 ,$1.52 ,258.14%
Flame Grapes,2018/10/14,$0.89 ,$1.63 ,$2.14 ,$0.98 ,$1.66 ,80.06%
Celery,2018/10/14,$0.36 ,$1.64 ,$1.91 ,$1.99 ,$1.62 ,397.22%
Cauliflower,2018/10/14,$1.04 ,$2.41 ,$2.39 ,$3.53 ,$3.24 ,178.13%
Carrots,2018/10/14,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,223.33%
Cantaloupe,2018/10/14,$0.83 ,$2.42 ,$2.74 ,$2.38 ,$2.74 ,209.64%
Broccoli Crowns,2018/10/14,$0.81 ,$1.82 ,$2.13 ,$2.20 ,$2.16 ,156.48%
Tomatoes,2018/10/7,$0.60 ,$1.62 ,$1.31 ,$1.59 ,$1.66 ,157.50%
Thompson Grapes,2018/10/7,$0.87 ,$2.38 ,$1.51 ,$1.74 ,$2.66 ,138.22%
Strawberries,2018/10/7,$1.63 ,$2.49 ,$2.03 ,$3.12 ,$3.31 ,67.94%
Romaine Lettuce,2018/10/7,$0.57 ,$2.31 ,$1.99 ,$1.47 ,$1.74 ,229.39%
Red Leaf Lettuce,2018/10/7,$0.36 ,$1.74 ,$1.75 ,$1.42 ,$1.63 ,354.17%
Potatoes,2018/10/7,$1.70 ,$4.47 ,$3.74 ,$3.99 ,$5.97 ,167.21%
Oranges,2018/10/7,$0.53 ,$1.63 ,$1.41 ,$1.47 ,$2.01 ,207.55%
Iceberg Lettuce,2018/10/7,$0.42 ,$1.04 ,$1.31 ,$1.32 ,$1.56 ,211.31%
Honeydews,2018/10/7,$1.75 ,$2.92 ,$4.09 ,$3.77 ,$4.11 ,112.71%
Green Leaf Lettuce,2018/10/7,$0.58 ,$1.59 ,$1.71 ,$1.32 ,$1.44 ,161.21%
Flame Grapes,2018/10/7,$0.89 ,$2.38 ,$1.51 ,$2.24 ,$2.66 ,146.91%
Celery,2018/10/7,$0.32 ,$1.39 ,$1.79 ,$1.99 ,$1.57 ,426.56%
Cauliflower,2018/10/7,$1.11 ,$2.34 ,$3.38 ,$3.18 ,$3.36 ,176.13%
Carrots,2018/10/7,$0.30 ,$0.92 ,$0.85 ,$1.16 ,$1.05 ,231.67%
Cantaloupe,2018/10/7,$0.87 ,$2.69 ,$2.62 ,$2.37 ,$2.62 ,195.98%
Broccoli Crowns,2018/10/7,$0.76 ,$1.82 ,$1.95 ,$2.07 ,$1.59 ,144.41%
Tomatoes,2018/9/30,$0.60 ,$1.62 ,$1.24 ,$1.59 ,$1.64 ,153.75%
Thompson Grapes,2018/9/30,$0.87 ,$2.09 ,$1.68 ,$2.24 ,$2.49 ,144.25%
Strawberries,2018/9/30,$0.92 ,$3.09 ,$2.41 ,$3.24 ,$3.56 ,234.24%
Romaine Lettuce,2018/9/30,$0.52 ,$1.59 ,$2.09 ,$1.42 ,$1.74 ,228.85%
Red Leaf Lettuce,2018/9/30,$0.36 ,$1.59 ,$1.71 ,$1.42 ,$1.57 ,336.81%
Potatoes,2018/9/30,$1.75 ,$4.47 ,$4.64 ,$3.99 ,$5.97 ,172.43%
Oranges,2018/9/30,$0.53 ,$1.54 ,$1.49 ,$1.47 ,$2.01 ,207.08%
Iceberg Lettuce,2018/9/30,$0.58 ,$1.04 ,$1.39 ,$1.14 ,$1.56 ,121.12%
Honeydews,2018/9/30,$1.50 ,$3.61 ,$3.75 ,$3.66 ,$3.74 ,146.00%
Green Leaf Lettuce,2018/9/30,$0.67 ,$1.59 ,$1.63 ,$1.42 ,$1.47 ,127.99%
Flame Grapes,2018/9/30,$0.89 ,$2.16 ,$1.68 ,$1.74 ,$2.16 ,117.42%
Celery,2018/9/30,$0.32 ,$1.59 ,$1.89 ,$1.99 ,$1.69 ,459.38%
Cauliflower,2018/9/30,$0.75 ,$2.66 ,$3.26 ,$3.38 ,$2.61 ,297.00%
Carrots,2018/9/30,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,223.33%
Cantaloupe,2018/9/30,$1.00 ,$2.13 ,$2.19 ,$2.24 ,$2.62 ,129.50%
Broccoli Crowns,2018/9/30,$0.83 ,$2.32 ,$2.13 ,$1.92 ,$2.35 ,162.65%
Strawberries,2018/9/26,$1.34 ,$2.69 ,$2.29 ,$2.57 ,$3.34 ,103.17%
Tomatoes,2018/9/23,$0.52 ,$1.62 ,$1.39 ,$1.34 ,$1.62 ,187.02%
Thompson Grapes,2018/9/23,$0.89 ,$1.88 ,$2.22 ,$0.98 ,$2.66 ,117.42%
Strawberries,2018/9/23,$1.06 ,$2.70 ,$2.57 ,$3.49 ,$3.44 ,187.74%
Romaine Lettuce,2018/9/23,$0.44 ,$1.59 ,$1.99 ,$1.42 ,$,184.09%
Red Leaf Lettuce,2018/9/23,$0.34 ,$4.47 ,$4.64 ,$3.99 ,$5.97 ,1302.21%
Potatoes,2018/9/23,$1.75 ,$4.47 ,$4.64 ,$3.99 ,$5.97 ,172.43%
Oranges,2018/9/23,$0.53 ,$1.53 ,$1.45 ,$1.29 ,$2.01 ,196.23%
Iceberg Lettuce,2018/9/23,$0.75 ,$1.04 ,$1.39 ,$1.14 ,$1.56 ,71.00%
Honeydews,2018/9/23,$0.96 ,$3.44 ,$3.75 ,$3.66 ,$3.74 ,279.95%
Green Leaf Lettuce,2018/9/23,$0.56 ,$1.59 ,$1.71 ,$1.42 ,$1.47 ,176.34%
Flame Grapes,2018/9/23,$0.89 ,$2.00 ,$2.16 ,$1.48 ,$2.66 ,133.15%
Celery,2018/9/23,$0.32 ,$1.64 ,$1.96 ,$1.99 ,$1.69 ,468.75%
Cauliflower,2018/9/23,$0.60 ,$2.71 ,$3.26 ,$3.38 ,$2.61 ,398.33%
Carrots,2018/9/23,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.05 ,223.33%
Cantaloupe,2018/9/23,$0.58 ,$1.99 ,$2.37 ,$2.12 ,$2.29 ,278.02%
Broccoli Crowns,2018/9/23,$0.82 ,$2.47 ,$2.13 ,$1.84 ,$1.52 ,142.68%
Broccoli Bunches,2018/9/23,$0.98 ,$1.65 ,$1.88 ,$1.49 ,$2.49 ,91.58%
Avocados,2018/9/23,$0.79 ,$0.97 ,$1.48 ,$1.17 ,$1.59 ,64.87%
Tomatoes,2018/9/16,$0.52 ,$1.62 ,$1.24 ,$1.59 ,$1.74 ,197.60%
Thompson Grapes,2018/9/16,$0.93 ,$1.88 ,$2.39 ,$2.24 ,$2.16 ,133.06%
Romaine Lettuce,2018/9/16,$0.39 ,$1.59 ,$2.09 ,$1.42 ,$1.74 ,338.46%
Potatoes,2018/9/16,$1.75 ,$4.47 ,$4.97 ,$3.99 ,$5.97 ,177.14%
Red Leaf Lettuce,2018/9/16,$0.30 ,$1.59 ,$1.71 ,$1.42 ,$1.57 ,424.17%
Oranges,2018/9/16,$0.53 ,$1.45 ,$1.35 ,$1.42 ,$1.93 ,190.09%
Iceberg Lettuce,2018/9/16,$0.50 ,$0.99 ,$1.14 ,$1.14 ,$1.56 ,141.50%
Honeydews,2018/9/16,$0.79 ,$3.61 ,$3.26 ,$3.66 ,$4.99 ,391.14%
Green Leaf Lettuce,2018/9/16,$0.37 ,$1.59 ,$1.63 ,$1.42 ,$1.47 ,312.84%
Flame Grapes,2018/9/16,$0.97 ,$2.01 ,$1.98 ,$2.24 ,$2.16 ,116.24%
Celery,2018/9/16,$0.35 ,$1.64 ,$1.89 ,$1.99 ,$1.69 ,415.00%
Cauliflower,2018/9/16,$0.63 ,$2.71 ,$2.85 ,$3.38 ,$2.49 ,353.57%
Carrots,2018/9/16,$0.30 ,$0.92 ,$0.92 ,$0.99 ,$1.29 ,243.33%
Cantaloupe,2018/9/16,$0.40 ,$2.29 ,$2.49 ,$2.24 ,$1.91 ,458.13%
Broccoli Crowns,2018/9/16,$0.77 ,$2.47 ,$1.72 ,$1.84 ,$2.16 ,165.91%
Avocados,2018/9/16,$0.82 ,$1.01 ,$1.55 ,$1.50 ,$1.59 ,72.26%
Broccoli Crowns,2018/9/12,$0.82 ,$2.32 ,$1.88 ,$1.74 ,$1.91 ,139.33%
Tomatoes,2018/9/9,$0.40 ,$1.62 ,$1.46 ,$1.59 ,$1.54 ,288.13%
Strawberries,2018/9/9,$1.47 ,$2.73 ,$3.02 ,$3.24 ,$3.34 ,109.69%
Romaine Lettuce,2018/9/9,$0.39 ,$2.01 ,$1.99 ,$1.42 ,$1.74 ,358.97%
Red Leaf Lettuce,2018/9/9,$0.33 ,$1.69 ,$1.75 ,$1.42 ,$1.62 ,390.91%
Potatoes,2018/9/9,$1.75 ,$4.47 ,$4.47 ,$3.99 ,$5.47 ,162.86%
Plums,2018/9/9,$0.71 ,$1.99 ,$1.96 ,$1.74 ,$2.49 ,188.03%
Peaches,2018/9/9,$0.64 ,$1.68 ,$1.64 ,$1.99 ,$2.49 ,204.69%
Oranges,2018/9/9,$0.53 ,$1.51 ,$1.36 ,$1.37 ,$1.78 ,183.96%
Iceberg Lettuce,2018/9/9,$0.38 ,$1.04 ,$1.31 ,$1.14 ,$1.56 ,232.24%
