dataset,refined_question,relevant_column,results,ground_truth,task,difficulty
Obesity or CVD Risk Dataset,How are the daily water consumption values distributed in terms of quartiles?,"[{""column_header"": ""CH2O"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Quartile"", ""result"": ""\""{'Min': 1.0, 'Q1': 1.5848125, 'Median': 2.0, 'Q3': 2.47742, 'Max': 3.0}\"""", ""conclusion"": ""\""{'Min': 1.0, 'Q1': 1.5848125, 'Median': 2.0, 'Q3': 2.47742, 'Max': 3.0}\""""}]","{""columns"": [""CH2O""], ""methods"": [""Quartile""]}",Descriptive Statistics,easy
Heart Failure Prediction Dataset,"Can different types of chest pain (Typical Angina, Atypical Angina, Non-Anginal Pain, Asymptomatic) affect how heart disease cases are distributed?","[{""column_header"": ""ChestPainType"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""HeartDisease"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","{""columns"": [""ChestPainType"", ""HeartDisease""], ""methods"": [""Chi-square Independence Test""]}",Contingency Table Test,hard
Los Angeles Library Monthly Statistics,Could the Uniform distribution accurately represent the number of homeless individuals served at The Source?,"[{""column_header"": ""# of Homeless Individuals Served at The Source"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test for Uniform distribution"", ""result"": ""{\""p value\"": 0.82272}"", ""conclusion"": ""Compliance""}]","{""columns"": [""# of Homeless Individuals Served at The Source""], ""methods"": [""Kolmogorov-Smirnov Test for Uniform distribution""]}",Distribution Compliance Test,easy
Customer Personality Analysis Dataset,"What is the level of variability in gold expenditure over the past two years, as indicated by the standard deviation of the amount spent on gold products (MntGoldProds)?","[{""column_header"": ""MntGoldProds"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Standard Deviation"", ""result"": ""52.15579"", ""conclusion"": ""52.15579""}]","{""columns"": [""MntGoldProds""], ""methods"": [""Standard Deviation""]}",Descriptive Statistics,easy
Student Performance Prediction Dataset,Does the impact of receiving extra educational support significantly differ across different levels of school in terms of internet access?,"[{""column_header"": ""schoolsup"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""internet"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""school"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.12279}"", ""conclusion"": ""Independent""}]","{""columns"": [""schoolsup"", ""internet"", ""school""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
FIFA Official Dataset 2023,To what extent do the variance patterns of the estimated market value of the player in pounds (£) and the release clause value of the player in pounds (£) align?,"[{""column_header"": ""Value"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Release Clause"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 10.75535, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 287.62234, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Value"", ""Release Clause""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Crop Production Dataset,Do the distributions of annual crop production in the Philippines and Vietnam closely align?,"[{""column_header"": ""Philippines"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Vietnam"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.22857}"", ""conclusion"": ""Distribution not significantly different""}]","{""columns"": [""Philippines"", ""Vietnam""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Pokedex Dataset,"Do the variables ""Base Defense"" and ""Base Speed"" exhibit comparable variability in their data?","[{""column_header"": ""Defense"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Speed"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -2.61197, \""p value\"": 0.009}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 0.07996, \""p value\"": 0.77739}"", ""conclusion"": ""Variance not significantly difference between them""}]","{""columns"": [""Defense"", ""Speed""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Income and Happiness Score Dataset,Is there uniformity in the variance of self-reported happiness scores (measured by the standard deviation) compared to the variance of median income among individuals in the country?,"[{""column_header"": ""std_satisfaction"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""median_income"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 73.44436, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""std_satisfaction"", ""median_income""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Pokedex Dataset,"Does the variance of height, measured in meters, equal the variance of weight, measured in kilograms?","[{""column_header"": ""Height_m"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Weight_kg"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -2.22679, \""p value\"": 0.02596}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 220.01537, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Height_m"", ""Weight_kg""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Pokedex Dataset,Is there homogeneity in the variances of the Base Health Points (HP) and Base Special Attack (Sp_Atk)?,"[{""column_header"": ""HP"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sp_Atk"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -6.35981, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 22.9634, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""HP"", ""Sp_Atk""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Customer Personality Analysis Dataset,Do the variables Kidhome and NumCatalogPurchases have similar distribution curves?,"[{""column_header"": ""Kidhome"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""NumCatalogPurchases"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","{""columns"": [""Kidhome"", ""NumCatalogPurchases""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Distribution Compliance Test,easy
Lung Cancer Survey Dataset,"Is there a significant difference in the effect of peer pressure on the presence of shortness of breath symptoms across varying levels of yellow fingers, indicating a smoking habit?","[{""column_header"": ""PEER_PRESSURE"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SHORTNESS OF BREATH"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""YELLOW_FINGERS"", ""is_strata"": true, ""is_control"": false}]","[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.00054}"", ""conclusion"": ""Not independent""}]","{""columns"": [""PEER_PRESSURE"", ""SHORTNESS OF BREATH"", ""YELLOW_FINGERS""], ""methods"": [""Mantel-Haenszel Test""]}",Contingency Table Test,easy
Crop Production Dataset,Is there a significant difference in the variances of annual crop production between the Philippines and Bangladesh?,"[{""column_header"": ""Philippines"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Bangladesh"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 6.56135, \""p value\"": 0.04282}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 2.76044, \""p value\"": 0.09662}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 17.67956, \""p value\"": 0.00566}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Philippines"", ""Bangladesh""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
US Christmas Tree Sales Dataset,What is the strength of the correlation between the number of Christmas trees bought and the mean price at which each tree is sold?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.42857}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Number of trees sold"", ""Average Tree Price""], ""methods"": [""Kendall Correlation Coefficient""]}",Correlation Analysis,hard
Student Performance Prediction Dataset,Are the levels of variability in going out with friends and weekend alcohol consumption comparable?,"[{""column_header"": ""goout"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Walc"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -5.04554, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 7.05062, \""p value\"": 0.00802}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""goout"", ""Walc""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Variance Test,hard
Los Angeles Library Monthly Statistics,Does a linear relationship exist between the total circulation of electronic media materials and the number of new library cardholders?,"[{""column_header"": ""Total eMedia Circulation"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""New Cardholders"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.16114}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.46396}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.29718}"", ""conclusion"": ""Not strongly correlated""}]","{""columns"": [""Total eMedia Circulation"", ""New Cardholders""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Correlation Analysis,easy
Terrorist Attacks Dataset,What is the average age at death for individuals aged between 1 and 5?,"[{""column_header"": ""Death Age :  1-5"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mean"", ""result"": ""29.40924"", ""conclusion"": ""29.40924""}]","{""columns"": [""Death Age :  1-5""], ""methods"": [""Mean""]}",Descriptive Statistics,easy
Lung Cancer Survey Dataset,"Is there a significant association between the presence of yellow fingers, indicating a smoking habit, and the presence of chest pain symptoms?","[{""column_header"": ""YELLOW_FINGERS"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.08415}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.08264}"", ""conclusion"": ""Independent""}]","{""columns"": [""YELLOW_FINGERS"", ""CHEST PAIN""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Contingency Table Test,easy
Crop Production Dataset,Do Pakistan and Bangladesh have significantly different variances in annual crop production?,"[{""column_header"": ""Pakistan"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Bangladesh"", ""is_strata"": false, ""is_control"": false}]","[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 12.51168, \""p value\"": 0.01226}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 7.60479, \""p value\"": 0.00582}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 30.83636, \""p value\"": 0.00144}"", ""conclusion"": ""Variance significantly difference between them""}]","{""columns"": [""Pakistan"", ""Bangladesh""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Variance Test,easy
